individual_uri,rdf_type,label,property_1,value_1,property_2,value_2,property_3,value_3,property_4,value_4
:DavidFrankel,dul:NaturalPerson,David Frankel,hasFilmRole,:Role_Director,hasAgent_in,:TDWP2006_Production,hasAgent_in,:TDWP2026_Production,,
:AlineBroshMcKenna,dul:NaturalPerson,Aline Brosh McKenna,hasFilmRole,:Role_Screenwriter,hasAgent_in,:TDWP2006_Production,hasAgent_in,:TDWP2026_Production,,
:MerylStreep,dul:NaturalPerson,Meryl Streep,hasFilmRole,:Role_LeadActor,hasAgent_in,:TDWP2006_Production,hasAgent_in,:TDWP2026_Production,,
:AnneHathaway,dul:NaturalPerson,Anne Hathaway,hasFilmRole,:Role_LeadActor,hasAgent_in,:TDWP2006_Production,hasAgent_in,:TDWP2026_Production,,
:EmilyBlunt,dul:NaturalPerson,Emily Blunt,hasFilmRole,:Role_LeadActor,hasAgent_in,:TDWP2006_Production,,,
:StanleyTucci,dul:NaturalPerson,Stanley Tucci,hasFilmRole,:Role_LeadActor,hasAgent_in,:TDWP2006_Production,hasAgent_in,:TDWP2026_Production,,
:WendyFinerman,dul:NaturalPerson,Wendy Finerman,hasFilmRole,:Role_Producer,hasAgent_in,:TDWP2006_Production,,,
:LaurenWeisberger,dul:NaturalPerson,Lauren Weisberger,hasAgent_in,:Weisberger_NovelWriting,,,,
:TDWP_Film_2006,:FashionFilm,The Devil Wears Prada (2006),hasReleaseYear,2006,hasDurationMinutes,109,hasBoxOfficeUSD,326760000,adaptedFrom,:TDWP_SourceNovel
:TDWP_Film_2026,:FashionFilmSequel,The Devil Wears Prada 2 (2026),hasReleaseYear,2026,hasDurationMinutes,118,isSequelOf,:TDWP_Film_2006,,
:TDWP_SourceNovel,:SourceNovel,The Devil Wears Prada — Novel (2003),hasReleaseYear,2003,producedBy,:Weisberger_NovelWriting,,,
:Miranda_Priestly_Character,creon:CreativeProduct,Miranda Priestly (character),rdfs:comment,Cultural archetype derived from the film,,,,,
:Cerulean_Scene,creon:CreativeProduct,The Cerulean Belt Speech (scene),rdfs:comment,Iconic scene — cultural reference about fashion industry power,,,,,
:TDWP2006_Production,creon:PersonalProcess,TDWP Production 2006,hasBudgetUSD,35000000,hasProductionYear,2004,hasPress,:PrintMediaEra_2004,hasSocialDomain,:FashionIndustry
:TDWP2026_Production,:RevivalSequel,TDWP 2 Production 2026,hasBudgetUSD,100000000,hasProductionYear,2024,hasPress,:StreamingEra_2024,continuesFrom,:TDWP2006_Production
:Weisberger_NovelWriting,creon:PersonalProcess,Weisberger Novel Writing 2002-2003,hasPress,:PrintMediaEra_2004,,,,
:PrintMediaEra_2004,:PrintMediaPress,Print media dominance era (2004),rdfs:comment,Pre-streaming era — Vogue at peak influence,,,,,
:StreamingEra_2024,:StreamingMediaPress,Streaming and digital disruption era (2024),rdfs:comment,Disney+ dominance — print magazine collapse,,,,,
:SocialMediaEra_2010s,:SocialMediaPress,Social media rise era (2010s),rdfs:comment,Rise of Instagram and fashion influencer culture,,,,,
:MeTooMovement_2017,:SocialMovementPress,#MeToo cultural shift (2017),rdfs:comment,Reshaping how workplace power dynamics are interpreted,,,,,
:OscarsSoWhite_2016,:SocialMovementPress,#OscarsSoWhite (2016),rdfs:comment,Diversity debate in Hollywood,,,,,
:PostCOVID_Cinema_2021,:CulturalPressEvent,Post-COVID cinema revival (2021),rdfs:comment,Return to theatrical cinema — nostalgia for classic films,,,,,
:FashionIndustry,dul:SocialObject,Fashion Industry,rdfs:comment,Domain of haute couture and fashion journalism,,,,,
:HollywoodFilmIndustry,dul:SocialObject,Hollywood Film Industry,rdfs:comment,The US mainstream film production and distribution system,,,,,
:StreamingIndustry,dul:SocialObject,Streaming Industry,rdfs:comment,Netflix Disney+ and other streaming platforms,,,,,
:LuxuryFashionHouse,dul:SocialObject,Luxury Fashion House,rdfs:comment,High-end fashion brands (Chanel Dior Prada) in the films,,,,,
:Reception_2006_Theatrical,:TheatricalFruitionContext,Theatrical release 2006,hasReceptionYear,2006,interpretedThrough,:Frame_AmbitionAndSuccess,hasAudienceAgent,:Audience_2006_Theatrical,
:Reception_2006_Critical,:CriticalFruitionContext,Critical reception 2006,hasReceptionYear,2006,interpretedThrough,:Frame_MediaSatire,hasAudienceAgent,:Audience_2006_Critics,
:Reception_2010s_SocialMedia,:SocialMediaFruitionContext,Social media recontextualisation (2010s),hasReceptionYear,2012,interpretedThrough,:Frame_AmbitionAndSuccess,hasAudienceAgent,:Audience_2010s_Millennials,
:Reception_2017_PostMeToo,:CriticalFruitionContext,Post-MeToo re-reading (2017),hasReceptionYear,2017,interpretedThrough,:Frame_WorkplaceAbuse,hasAudienceAgent,:Audience_PostMeToo,
:Reception_2021_PostCOVID,:StreamingFruitionContext,Post-COVID streaming rewatch (2021),hasReceptionYear,2021,interpretedThrough,:Frame_NostalgiaForPrintEra,hasAudienceAgent,:Audience_PostCOVID,
:Reception_2026_PostSequel,:StreamingFruitionContext,Post-sequel re-viewing (2026),hasReceptionYear,2026,interpretedThrough,:Frame_NostalgiaForPrintEra,hasAudienceAgent,:Audience_2026_Sequel,
:Reception_2026_Premiere,:TheatricalFruitionContext,Sequel premiere 2026,hasReceptionYear,2026,interpretedThrough,:Frame_MediaSatire,hasAudienceAgent,:Audience_2026_Sequel,
:Reception_2026_Critical,:CriticalFruitionContext,Critical reception — sequel (2026),hasReceptionYear,2026,interpretedThrough,:Frame_ClassAndLabour,hasAudienceAgent,:Audience_2026_Critics,
:Frame_AmbitionAndSuccess,:CareerNarrativeFrame,Ambition and the price of success,rdfs:comment,Dominant 2006 frame — personal cost of career ambition,,,,,
:Frame_WorkplaceAbuse,:FeministFrame,Workplace abuse and toxic leadership,rdfs:comment,Post-MeToo frame — Miranda as symbol of abusive power,,,,,
:Frame_NostalgiaForPrintEra,:NostalgiaFrame,Nostalgia for the print media era,rdfs:comment,2006 film as document of a vanishing media world,,,,,
:Frame_MediaSatire,:SatireFrame,Satire of fashion media culture,rdfs:comment,Academic frame — film as satire of luxury fashion journalism,,,,,
:Frame_FashionAsFeminism,:FeministFrame,Fashion as feminist self-expression,rdfs:comment,Andy's transformation as feminist agency,,,,,
:Frame_ClassAndLabour,:ConceptualInterpretiveFrame,Class labour and exploitation,rdfs:comment,Reading the film through lens of labour exploitation,,,,,
:Audience_2006_Theatrical,:TheatricalAudience,Theatrical audience 2006,rdfs:comment,General theatrical audiences at original release,,,,,
:Audience_2006_Critics,:CriticalAudience,Film critics 2006,rdfs:comment,Professional film critics at original release,,,,,
:Audience_2010s_Millennials,:StreamingAudience,Millennial rewatch audience (2010s),rdfs:comment,Millennials discovering film via streaming/DVD,,,,,
:Audience_PostMeToo,:CriticalAudience,Socially aware audience post-2017,rdfs:comment,Audience applying feminist/labour lens post-MeToo,,,,,
:Audience_PostCOVID,:CasualRewatchAudience,Post-COVID rewatch audience (2021),rdfs:comment,Audiences rewatching comfort films during/after pandemic,,,,,
:Audience_2026_Sequel,:StreamingAudience,Contemporary streaming audience 2026,rdfs:comment,Audiences watching sequel on streaming platform,,,,,
