Type,Name,Parent,Description
Class,FruitionContext,creon:CreativitySituation,A situated context in which a CreativeProduct is received and interpreted by an audience
Class,TheatricalFruitionContext,FruitionContext,Reception in theatrical / cinema release setting
Class,StreamingFruitionContext,FruitionContext,Reception via streaming platform (e.g. Disney+)
Class,CriticalFruitionContext,FruitionContext,Academic or journalistic critical reception
Class,SocialMediaFruitionContext,FruitionContext,Reception and reinterpretation via social media
Class,ReceptionShift,dul:Event,An event marking a change in the dominant interpretive frame of a CreativeProduct
Class,SocialMovementShift,ReceptionShift,A reception shift triggered by a social movement (e.g. #MeToo)
Class,TechnologicalShift,ReceptionShift,A reception shift triggered by a change in media technology
Class,HistoricalShift,ReceptionShift,A reception shift triggered by a major historical event
Class,MediaIndustryPress,creon:CreativityPress,Structural changes in the media/entertainment industry
Class,PrintMediaPress,MediaIndustryPress,CreativityPress characterized by print media dominance
Class,StreamingMediaPress,MediaIndustryPress,CreativityPress characterized by streaming platform dominance
Class,SocialMediaPress,MediaIndustryPress,CreativityPress characterized by social media culture
Class,CulturalPressEvent,creon:CreativityPress,A social or cultural event that acts as CreativityPress on reception
Class,SocialMovementPress,CulturalPressEvent,A social movement acting as CreativityPress
Class,PoliticalPressEvent,CulturalPressEvent,A political event acting as CreativityPress
Class,SequelProcess,creon:PersonalProcess,A PersonalProcess revisiting a prior PersonalProcess under new CreativityPress
Class,DirectSequel,SequelProcess,A sequel that continues the narrative of the original
Class,RevivalSequel,SequelProcess,A sequel that revives a franchise after a long hiatus (10+ years)
Class,ConceptualInterpretiveFrame,creon:MetaConvergence,A conceptual frame organizing interpretation of a CreativeProduct
Class,FeministFrame,ConceptualInterpretiveFrame,Interpretation through feminist critical theory lens
Class,NostalgiaFrame,ConceptualInterpretiveFrame,Interpretation as nostalgic document of a past era
Class,CareerNarrativeFrame,ConceptualInterpretiveFrame,Interpretation as story about professional ambition
Class,SatireFrame,ConceptualInterpretiveFrame,Interpretation as social satire of an industry or culture
Class,FashionFilm,creon:CreativeProduct,A film whose primary creative domain is the fashion industry
Class,FashionFilmSequel,FashionFilm,A fashion film that is a sequel to an existing fashion film
Class,SourceNovel,creon:CreativeProduct,A literary novel that serves as source material for a film adaptation
Class,FilmRole,dul:SocialObject,A professional role in a film production
Class,DirectorRole,FilmRole,The director role in a film production
Class,ScreenwriterRole,FilmRole,The screenwriter role in a film production
Class,ActorRole,FilmRole,The actor role in a film production
Class,ProducerRole,FilmRole,The producer role in a film production
Class,AudienceType,dul:CollectiveAgent,A typed audience collective in a FruitionContext
Class,TheatricalAudience,AudienceType,Audience receiving a film in theatrical setting
Class,StreamingAudience,AudienceType,Audience receiving a film via streaming platform
Class,CriticalAudience,AudienceType,Journalists academics film critics
Class,CasualRewatchAudience,AudienceType,Audience watching the film again years after original release
ObjectProperty,hasReceptionContext,creon:CreativeProduct → FruitionContext,Links a product to its reception contexts over time
ObjectProperty,interpretsFruitionOf,FruitionContext → creon:CreativeProduct,Inverse of hasReceptionContext
ObjectProperty,hasAudienceAgent,FruitionContext → dul:Agent,The agent(s) in this reception context
ObjectProperty,interpretedThrough,FruitionContext → ConceptualInterpretiveFrame,The conceptual frame applied in this reception context
ObjectProperty,shiftsInterpretationOf,ReceptionShift → creon:CreativeProduct,The product whose interpretation shifts
ObjectProperty,fromContext,ReceptionShift → FruitionContext,Starting reception context of a shift
ObjectProperty,toContext,ReceptionShift → FruitionContext,Resulting reception context of a shift
ObjectProperty,triggeredByPress,ReceptionShift → creon:CreativityPress,The press change that triggered the shift
ObjectProperty,continuesFrom,SequelProcess → creon:PersonalProcess,Links sequel process to its predecessor
ObjectProperty,hasSocialDomain,creon:CreativitySituation → dul:SocialObject,The social domain of the creativity situation
ObjectProperty,hasFilmRole,dul:NaturalPerson → FilmRole,Links a person to their role in a film production
ObjectProperty,isSequelOf,FashionFilmSequel → FashionFilm,Links a sequel film to its original
ObjectProperty,adaptedFrom,FashionFilm → SourceNovel,Links a film to its source novel
ObjectProperty,producedBy,creon:CreativeProduct → creon:PersonalProcess,Links a product to its production process
ObjectProperty,hasDistributionChannel,creon:CreativeProduct → MediaIndustryPress,The media channel through which a product is distributed
ObjectProperty,precedesContext,FruitionContext → FruitionContext,Temporal ordering between reception contexts (transitive)
DatatypeProperty,hasReceptionYear,FruitionContext → xsd:gYear,The year of this reception context
DatatypeProperty,hasBudgetUSD,creon:PersonalProcess → xsd:integer,Production budget in USD
DatatypeProperty,hasProductionYear,creon:PersonalProcess → xsd:gYear,The year production began
DatatypeProperty,hasReleaseYear,creon:CreativeProduct → xsd:gYear,The year the product was released
DatatypeProperty,hasBoxOfficeUSD,FashionFilm → xsd:integer,Total box office gross in USD
DatatypeProperty,hasDurationMinutes,FashionFilm → xsd:integer,Film duration in minutes
